"X"	"PD_3_VTA"	"PD_4_SNc"	"PD_5_SNc"	"PD_4_VTA"	"PD_2_SNc"	"PD_5_VTA"	"PD_3_SNc"	"PD_1_SNc"	"PD_1_VTA"
"RBM26"	184	6	186	63	142	2	79	50	405
"TSPYL2"	166	0	84	32	65	24	73	131	33
"PRDM16"	0	0	0	4	0	0	0	0	0
"TBL1Y"	0	1	0	0	0	0	0	0	0
"ADAMTS10"	0	0	3	0	15	0	0	0	4
"MRPS36"	38	44	15	11	5	32	54	10	54
"SEC11C"	137	9	77	75	111	13	51	44	61
"TLR10"	34	0	0	0	3	0	0	0	0
"XRCC6BP1"	0	0	0	0	0	0	0	0	0
"ZNF479"	0	0	0	0	0	0	0	0	0
"BTBD6"	112	0	25	54	4	11	12	2	28
"GRIP1"	0	0	18	3	0	9	42	0	36
"SLC12A3"	0	1	0	1	0	0	0	11	0
"CALCOCO2"	50	0	21	13	7	0	32	0	5
"IARS2"	73	3	70	2	31	42	35	29	7
"ICE1"	60	3	86	12	24	15	80	16	38
"SIN3B"	170	21	107	21	86	15	30	40	71
"SMG1"	5	6	66	17	83	3	32	7	56
"C10orf91"	0	0	0	0	0	0	0	0	0
"OSTCP1"	0	0	0	1	0	0	0	0	0
"ECEL1P2"	0	0	0	0	0	0	0	0	0
"SLMO1"	0	0	0	0	0	0	0	0	0
"CD164"	154	72	167	9	152	30	66	172	190
"POU2F1"	0	14	33	2	70	0	1	1	5
"TUFT1"	33	0	1	26	1	1	35	10	71
"PPL"	0	0	7	0	0	0	11	0	0
"GATA6-AS1"	0	0	0	0	0	0	0	0	0
"CTAGE1"	0	0	0	0	0	0	0	0	0
"SLCO4A1"	17	0	0	0	4	0	16	2	0
"ZDHHC2"	25	9	48	11	57	40	7	14	18
"ZHX2"	0	0	0	0	0	0	24	0	0
"TBC1D9B"	20	2	17	11	30	6	56	102	30
"NEK1"	38	0	34	2	61	7	100	121	19
"TRAF3"	150	7	65	0	65	17	5	50	64
"ARHGAP23"	54	0	38	21	13	1	52	34	63
"PLA2G12A"	184	2	38	21	29	6	107	70	80
"LRRC3B"	90	12	122	21	46	3	12	20	6
"USP48"	100	12	125	44	51	26	43	5	18
"MRPL53"	0	0	0	0	0	0	0	0	0
"UCN3"	0	0	0	0	0	0	0	0	0
"ARHGAP33"	32	2	3	0	0	0	0	0	2
"ALPK2"	0	0	0	0	0	0	0	0	0
"NOSTRIN"	0	0	3	0	0	2	0	0	0
"TMEM203"	55	18	17	0	26	0	2	0	0
"SLA2"	0	0	0	0	0	0	0	0	0
"RBM33"	58	2	11	13	63	3	7	21	6
"COMMD7"	80	0	41	11	90	0	25	4	7
"GBP4"	0	0	0	0	0	0	0	0	0
"ARID5B"	18	7	5	15	193	5	12	113	38
"ANTXR1"	0	2	2	2	0	0	38	1	0
"ATG4A"	2	3	41	0	3	0	13	3	50
"NT5C3B"	290	4	27	7	43	12	7	82	29
"NLRC5"	0	0	0	0	0	0	0	0	0
"TSGA13"	0	0	0	0	0	0	0	0	0
"MIR320C2"	0	0	0	0	0	0	0	0	0
"TOMM20"	871	133	321	96	172	135	107	161	125
"B3GAT3"	33	1	41	17	5	0	26	3	2
"RANBP3"	53	6	8	10	29	13	19	59	10
"PSEN1"	91	5	2	1	6	20	6	36	20
"C2orf82"	0	0	0	0	0	0	0	0	0
"CCDC18"	0	0	14	14	14	0	43	0	16
"DDO"	0	0	0	0	0	0	0	0	0
"PTPRJ"	58	0	53	10	92	13	27	27	74
"WASF1"	156	2	134	95	130	28	20	29	138
"PTPRG"	16	6	38	63	77	21	3	6	13
"DOK2"	0	0	0	0	0	0	0	0	0
"PTPRD"	106	10	48	11	6	26	29	62	38
"NNT-AS1"	110	5	45	7	26	50	11	108	32
"HSBP1L1"	2	0	2	2	0	0	0	62	0
"PAFAH2"	9	0	0	9	6	12	2	74	3
"KIF6"	3	1	0	0	18	0	3	0	8
"SLFN12"	0	0	0	0	0	1	0	0	0
"MAG"	0	0	0	0	0	0	0	0	4
"CD200R1L"	0	0	0	0	0	0	0	0	0
"RNF5"	19	0	3	0	14	0	2	1	0
"SLC7A2"	0	0	0	1	0	0	0	0	0
"MHRT"	0	0	0	0	0	0	0	0	0
"ZNF271P"	56	31	60	38	33	37	37	31	61
"ZNF865"	0	0	0	0	1	0	0	0	0
"ARL14EPL"	0	0	0	0	0	0	0	0	0
"FAM179B"	0	0	0	0	0	0	0	0	0
"FSCN2"	0	0	0	0	0	0	0	0	0
"RAB3GAP2"	345	66	266	85	228	79	178	277	264
"NFASC"	477	56	358	41	297	90	93	77	120
"SVOP"	111	5	66	8	7	8	15	46	6
"CUL9"	31	0	6	0	0	1	10	3	1
"QPCT"	97	0	6	0	7	29	22	24	9
"PTPN22"	0	0	12	0	0	0	0	8	0
"DDN"	0	0	0	0	0	0	0	0	0
"CEP131"	0	4	0	0	6	0	0	0	0
"LINC00669"	0	0	0	0	0	0	0	0	0
"SNORA15"	0	0	0	0	0	0	0	0	0
"KIAA1328"	27	0	0	12	0	0	0	0	2
"FAM45A"	12	3	31	18	47	11	1	13	24
"NUFIP2"	198	18	159	217	224	193	70	77	250
"PDZD8"	199	52	124	89	223	60	50	72	154
"CGN"	5	0	21	0	10	1	0	0	0
"KCTD16"	3	0	9	1	5	2	1	4	0
"CYP39A1"	0	0	0	0	0	7	0	2	0
"HACD3"	697	29	353	80	356	127	113	185	512
"ZWILCH"	0	0	1	21	8	1	1	36	0
"C1orf64"	0	0	0	0	0	0	0	0	0
"HEATR1"	12	1	4	0	26	0	0	1	9
"CASKIN1"	4	0	8	0	5	0	0	0	5
"SSBP3"	468	13	282	24	73	143	95	32	112
"ATP10D"	13	0	45	2	37	96	8	6	7
"CHD7"	27	0	7	0	44	1	4	2	28
"NFXL1"	5	1	19	0	15	0	12	5	5
"FAM219B"	0	0	0	0	0	0	2	1	0
"ACTR3B"	15	4	1	0	36	0	24	12	62
"TBX2-AS1"	0	0	0	0	0	0	0	0	0
"LINC01435"	0	0	0	0	0	0	0	0	0
"PKNOX2-AS1"	0	0	0	0	0	0	0	0	0
"DLEU1-AS1"	0	0	0	0	0	0	0	0	0
"LINC00383"	0	0	0	0	0	0	0	0	0
"LINC01288"	0	0	0	0	0	0	0	0	0
"ABL1"	66	11	11	17	12	10	27	31	21
"LINC01461"	0	0	0	0	0	0	0	0	0
"LINC01046"	0	0	0	0	0	0	0	0	0
"LINC01050"	0	0	0	0	0	0	0	0	0
"ADAMTS19-AS1"	0	0	0	0	0	0	0	0	0
"AASDHPPT"	322	3	180	79	111	137	24	71	102
"DCAF13"	0	0	14	0	17	1	6	2	2
"ORC6"	75	0	29	0	28	0	5	13	8
"SPEF1"	1	0	3	0	0	0	0	4	2
"HECW1"	28	0	173	28	57	4	96	31	59
"DUSP13"	0	0	0	0	0	0	0	0	0
"DIS3"	57	0	60	10	18	45	35	0	19
"RPL17-C18orf32"	0	0	0	0	0	0	0	0	0
"SNORD58B"	0	0	0	0	0	0	0	0	0
"CHD2"	38	7	36	1	92	5	50	72	38
"RPL38"	199	6	93	93	75	6	104	49	46
"MYL3"	0	0	0	0	0	0	0	0	0
"RGS19"	0	0	9	0	0	0	0	0	0
"BCAS2"	744	13	360	89	364	303	130	354	857
"COX7A2L"	471	141	163	67	112	58	101	76	448
"DGKI"	222	29	61	11	56	7	24	38	86
"ART5"	0	0	0	0	0	0	0	0	0
"BET1"	0	0	7	0	22	0	0	0	8
"PRSS16"	0	0	3	0	0	0	0	0	2
"FAM98A"	114	3	39	2	109	10	40	11	120
"PCSK7"	12	0	13	0	34	7	75	7	1
"CTDP1"	4	0	24	7	0	0	13	22	4
"PURA"	658	88	243	148	475	227	318	470	768
"FSTL3"	6	0	7	0	0	0	0	4	0
"ZMPSTE24"	26	6	59	40	57	42	14	0	5
"RAMP3"	0	0	0	0	4	2	1	0	0
"RAMP2"	9	0	1	0	0	0	0	0	1
"HGS"	34	0	0	0	12	3	0	0	0
"CHD3"	200	8	119	1	56	20	31	67	23
"IGSF6"	0	0	3	0	0	0	0	6	0
"FAM50A"	38	25	50	34	61	0	15	32	3
"TMEM257"	0	0	0	0	0	0	0	0	0
"PDCD5"	148	12	31	84	92	10	30	56	16
"PRPF3"	12	1	17	2	1	4	5	0	0
"PKN2"	15	0	13	6	12	5	29	12	4
"SRRM1"	83	3	84	0	57	19	67	80	11
"HAAO"	4	0	0	0	1	1	0	0	0
"MYLPF"	1	0	0	0	1	0	0	1	0
"RACGAP1"	0	0	0	0	6	0	0	0	7
"DNAI1"	0	0	0	0	0	0	0	0	0
"SNORA37"	0	0	3	0	0	0	0	0	0
"ACTN3"	0	0	0	0	0	0	0	4	0
"NDUFC1"	168	70	111	81	73	25	46	93	59
"PTBP2"	376	20	161	4	241	16	46	100	146
"CAMK2G"	93	27	140	14	208	13	43	132	44
"NDUFS5"	122	2	106	34	78	13	127	6	37
"DAPK2"	0	0	0	0	0	0	18	0	0
"ABI3BP"	0	1	0	0	56	0	0	1	0
"ZNF473"	0	0	0	0	0	0	0	10	5
"POLR1A"	31	5	49	8	32	2	22	0	11
"FAM20C"	141	5	66	6	45	5	58	0	27
"TOR3A"	1	2	10	7	37	7	4	0	7
"SLC6A20"	0	0	0	0	1	0	0	0	0
"SMYD2"	0	1	14	3	16	26	2	0	0
"POPDC3"	25	0	4	3	6	2	2	22	8
"TFB2M"	37	0	44	0	11	27	11	0	9
"LHX5"	0	0	0	0	0	0	0	0	0
"MRPS22"	2	0	21	0	17	3	1	0	22
"DPEP3"	0	0	0	0	0	0	0	0	0
"NT5M"	0	0	5	0	0	3	0	0	0
"DPEP2"	0	0	0	0	0	0	0	0	0
"HNRNPCL3"	0	0	0	0	0	0	0	0	0
"RELA"	3	0	2	0	32	0	1	4	3
"SLC2A6"	58	0	114	14	32	15	22	50	17
"MTRNR2L1"	20	813	17	2564	8	5	13	18	23
"P3H1"	0	0	0	1	0	0	3	0	0
"VCX2"	0	0	0	0	0	0	0	0	0
"PLEK"	0	0	0	0	0	0	0	0	0
"SLC28A1"	0	0	0	0	0	0	0	0	0
"FLJ45513"	0	0	0	0	0	0	0	0	0
"ZNF790"	0	1	0	0	0	30	7	0	0
"BRF1"	16	9	49	2	8	1	3	2	3
"OR7E5P"	0	0	0	0	0	0	0	0	0
"NPBWR2"	0	0	0	0	0	0	0	0	0
"NPBWR1"	0	0	0	0	0	0	0	0	0
"GPR6"	0	0	0	0	0	0	0	0	0
"XCR1"	0	0	0	0	0	0	0	0	0
"GPR4"	0	0	0	0	0	0	2	0	0
"GPR1"	0	0	0	0	0	0	0	0	0
"GPM6B"	143	10	70	45	108	33	134	27	98
"CHST3"	0	0	0	0	0	0	0	0	0
"LDB1"	1	2	16	0	5	0	5	5	10
"NHP2L1"	0	0	0	0	0	0	0	0	0
"RNU6-39P"	0	0	0	0	0	0	0	0	0
"WSB2"	651	106	233	207	211	20	123	242	180
"JARID2"	1	1	16	56	26	15	7	10	24
"KIR2DL2"	0	0	0	0	0	0	0	0	0
"LINC00909"	0	0	3	1	11	1	3	12	2
"LINC00575"	0	0	0	0	0	0	0	0	0
"GRIN1"	94	8	106	12	61	5	37	63	18
"EIF4A3"	29	0	0	1	16	0	5	65	2
"KIAA0195"	0	0	0	0	0	0	0	0	0
"ZNF385B"	0	0	1	0	15	0	5	0	7
"LRRC31"	0	0	0	0	0	0	0	0	0
"ZNF621"	24	0	16	1	8	1	6	44	25
"ITM2C"	199	16	109	29	96	25	115	33	28
"KCNA1"	33	0	2	3	0	50	1	0	0
"CCDC33"	0	0	0	0	0	0	1	1	0
"GPC1"	53	0	78	0	53	7	46	20	0
"MIR3128"	0	0	0	0	0	0	0	0	0
"GLP1R"	0	0	0	0	0	0	0	0	0
"TBCE"	0	0	0	0	11	0	0	0	0
"C20orf62"	0	0	0	0	0	0	0	0	0
"NSG1"	366	37	121	134	123	63	165	55	161
"ZDHHC16"	5	0	19	0	106	1	0	212	0
"COL4A3"	5	0	34	2	3	73	0	0	0
"WBP11"	96	6	25	52	43	16	20	48	101
"LCMT1"	73	3	48	22	32	12	19	128	12
"RORA"	182	35	130	10	34	34	105	38	74
"SLC12A6"	92	0	33	19	5	3	6	30	4
"MRPL33"	13	0	15	6	22	3	23	2	5
"IL1RAP"	66	6	97	14	11	69	31	2	12
"ATP9A"	588	27	275	61	144	97	144	66	149
"RHOV"	4	0	0	0	0	0	0	0	0
"SPESP1"	0	1	0	0	3	0	0	0	2
"CCSAP"	117	7	15	2	32	6	19	105	33
"HPCAL1"	274	20	67	28	64	8	55	90	29
"WFDC5"	0	0	0	0	0	0	2	0	0
"MRPL35"	79	1	35	32	62	41	19	14	82
"APOL3"	2	0	0	0	0	0	5	6	0
"CYGB"	22	0	35	0	44	2	5	21	3
"ASNS"	0	0	0	0	5	0	1	0	0
"ATP7A"	10	12	78	4	15	15	16	20	70
"BAIAP2"	7	5	31	5	7	0	14	14	7
"CDH7"	97	23	10	6	35	0	20	9	48
"FOPNL"	0	2	32	31	10	2	30	18	21
"TRDMT1"	0	0	0	0	0	3	0	0	2
"DYNC1I1"	767	156	459	397	533	221	276	396	308
"TRHR"	0	0	0	0	0	0	0	0	0
"DDX10"	20	1	9	22	46	16	18	16	47
"TNFRSF13B"	0	0	0	0	0	0	0	0	0
"MIR1227"	0	0	0	0	0	0	0	0	0
"NF2"	76	0	9	28	15	3	63	86	67
"RCOR2"	0	0	0	0	0	0	0	0	0
"USP33"	218	51	124	10	264	154	178	78	95
"ALAS2"	0	0	0	0	0	2	0	1	0
"ALAD"	126	4	33	44	49	0	12	69	25
"CALCB"	3	0	0	0	0	1	0	0	0
"AGXT"	0	0	0	0	0	0	1	0	0
"CACNB1"	9	1	33	7	36	13	15	20	36
"ADA"	0	0	0	0	0	0	0	0	0
"ACVRL1"	0	0	0	0	0	0	0	1	0
"PTPN12"	139	0	103	2	60	13	71	75	41
"C11orf68"	127	0	47	0	45	3	24	0	36
"DRP2"	5	9	35	6	28	29	20	22	24
"TCF12"	15	0	23	17	49	13	36	4	4
"NFE2L1"	346	25	133	20	128	42	170	85	199
"TBP"	0	0	7	5	59	0	1	2	39
"TCF7"	0	0	0	0	0	0	0	0	0
"MIR5701-1+MIR5701-2+MIR5701-3"	0	0	0	0	0	0	0	0	0
"MIR7706"	0	0	0	0	0	0	0	0	0
"MIR6859-1+MIR6859-2+MIR6859-3+MIR6859-4"	0	0	0	0	0	0	0	0	0
"HOXC4"	0	0	0	0	0	0	0	0	0
"BRINP1"	70	0	38	0	16	10	30	8	1
"WDR47"	715	133	316	77	347	194	202	95	417
"TMEM63A"	0	0	0	0	0	0	0	11	2
"GSE1"	34	0	103	12	57	192	35	18	38
"PSME4"	301	0	138	2	266	4	26	85	17
"FAF2"	58	2	61	10	22	36	34	1	37
"FAM120A"	80	36	82	7	188	59	48	20	144
"SNORD37"	0	0	0	0	0	0	0	0	0
"ADAL"	76	0	18	1	28	12	30	1	0
"TPI1"	964	172	534	338	318	57	187	352	109
"URGCP-MRPS24"	0	0	0	0	0	0	0	0	0
"ATP5J2-PTCD1"	0	0	0	0	0	0	0	0	0
"ATP6V1F"	259	36	104	94	178	45	93	122	98
"HRH3"	3	4	3	9	0	0	14	0	6
"ZMYM6"	39	32	19	0	23	0	11	7	0
"NLGN1"	117	31	177	34	107	23	55	133	163
"MYO15A"	0	0	0	0	14	0	0	1	0
"DAD1"	25	0	25	2	3	12	15	23	22
"SNN"	48	0	19	1	75	22	27	60	24
"IRF8"	0	0	0	0	0	0	0	0	0
"MTX1"	0	0	0	0	1	0	0	8	0
"PDZK1"	0	0	0	0	0	0	0	0	0
"LATS2"	0	0	0	0	0	0	0	0	0
"GSX1"	0	0	0	0	0	0	0	0	0
"EVL"	97	0	51	6	55	7	34	17	32
"PARP16"	8	0	23	0	0	1	0	0	0
"SRRM2"	136	20	95	39	99	29	99	57	51
"ATAD2B"	2	0	44	1	5	12	13	2	175
"INPP5F"	875	156	271	163	238	375	191	215	211
"ENDOD1"	238	32	79	67	189	40	122	64	38
"PLEKHA6"	151	61	124	42	59	18	26	81	79
"HERC5"	0	0	0	0	0	0	2	0	0
"DEFB118"	0	0	0	0	0	0	0	0	0
"GALNT15"	0	0	17	0	0	0	14	3	0
"HRASLS5"	0	0	0	0	0	0	0	0	0
"OR1J2"	0	0	0	0	0	0	0	0	0
"SPANXD"	0	0	0	0	0	0	0	0	0
"CARD11"	0	0	0	0	0	0	0	0	0
"MRGPRX4"	0	0	0	0	0	0	0	0	0
"SLC35G5"	0	0	0	0	0	0	0	0	0
"PROK1"	0	0	0	1	0	0	0	0	0
"C2orf40"	16	0	0	1	0	0	2	2	0
"COL27A1"	0	0	0	0	0	0	0	0	0
"FCRL3"	0	0	0	0	0	0	0	0	0
"BAZ1B"	132	24	68	35	123	35	65	56	53
"WNK4"	0	0	0	0	0	0	0	0	0
"HPS3"	12	0	4	2	6	1	6	7	51
"MGAT4B"	40	0	17	34	0	4	5	0	1
"COG8"	0	0	0	0	0	0	0	0	0
"TEKT1"	0	0	0	0	0	0	1	0	0
"WFIKKN1"	0	0	2	0	0	0	0	0	2
"SH2D1B"	0	0	0	0	0	0	0	0	0
"FAM167A"	9	1	72	1	38	0	0	4	5
"TAAR8"	0	0	0	0	0	0	0	0	0
"ELOF1"	0	0	13	7	24	0	3	50	9
"CST13P"	0	0	0	0	0	0	0	0	0
"OR7E91P"	0	0	0	0	0	0	0	0	0
"SNORD22"	0	0	0	0	0	0	0	0	0
"PRSS57"	0	0	0	0	0	0	0	0	0
"RPLP1"	113	13	46	76	98	9	93	59	109
"SLC25A29"	1	0	0	0	0	0	0	0	0
"GANAB"	5	1	26	5	37	0	15	0	14
"P2RY10"	0	0	0	0	0	0	0	0	0
"ZP1"	0	0	0	0	0	0	0	0	0
"C10orf32-ASMT"	0	0	0	0	0	0	0	0	0
"CHEK1"	0	0	0	18	0	0	0	0	0
"FLJ40288"	0	0	0	0	0	0	0	0	0
"FGD5-AS1"	194	0	35	5	34	21	20	32	73
"RPS16P5"	0	0	0	0	0	0	0	0	0
"LINC01168"	0	0	0	0	0	0	0	0	0
"CPB2-AS1"	4	0	1	0	0	0	0	0	14
"CLIP1-AS1"	0	0	0	0	0	0	0	0	0
"SNX29P1"	0	0	0	0	0	0	0	1	0
"OR10V2P"	0	0	0	0	0	0	0	0	0
"FLJ25758"	0	0	0	0	0	0	0	0	0
"MBD3L5"	0	0	0	0	0	0	0	0	0
"ZNF559"	0	1	41	0	0	2	2	0	1
"LOC100128573"	0	0	0	0	0	0	0	0	0
"CAB39L"	248	34	28	20	45	2	52	43	120
"BTNL10"	0	0	0	0	0	0	0	0	0
"D2HGDH"	1	0	0	0	9	0	42	6	0
"PPP2R2C"	144	4	45	17	30	12	67	68	6
"KRTAP10-7"	0	0	0	0	0	0	0	0	0
"SRPK2"	440	73	225	201	513	93	166	91	186
"APAF1"	2	0	12	0	3	0	18	0	1
"ACOT7"	731	240	440	272	444	84	238	618	389
"ACSM3"	0	0	0	0	0	0	0	2	0
"ZSCAN22"	0	0	0	0	18	0	0	0	0
"MANSC4"	0	0	0	0	0	0	0	0	0
"CHRNA5"	0	0	3	0	0	0	0	0	0
"CHRNA4"	574	30	395	78	161	76	196	121	96
"UNC5B"	0	0	0	0	14	0	9	0	0
"LOC102724784"	0	0	0	0	0	0	0	0	0
"LOC102724957"	0	0	0	0	0	0	0	0	0
"KCNN2"	17	0	15	0	0	4	4	0	0
"IPMK"	0	7	15	14	37	10	0	8	0
"TAAR9"	0	0	0	0	0	0	0	0	0
"TAS1R2"	0	0	1	0	0	0	0	0	0
"PGBD2"	0	0	0	0	0	0	0	0	0
"AK9"	26	2	2	26	6	50	2	4	3
"PROB1"	0	0	0	0	0	0	0	0	0
"SEPP1"	0	0	0	0	0	0	0	0	0
"PODXL"	10	1	37	4	21	0	12	22	0
"MET"	0	0	0	0	0	0	0	0	0
"ZNF812"	0	0	0	0	0	0	0	0	0
"ZNF41"	18	0	0	0	2	0	1	0	29
"ZNF354C"	0	0	0	0	0	4	0	2	0
"CDR2L"	43	1	7	0	0	0	0	5	11
"ZIC2"	0	0	0	0	0	0	0	0	0
"VCP"	351	55	164	149	348	106	107	206	196
"PIK3R4"	5	0	25	5	5	23	1	3	0
"KCNIP1"	0	0	0	0	5	0	0	0	0
"EHD2"	0	0	0	0	0	0	0	0	0
"FOXI2"	0	0	0	0	0	0	0	0	0
"SKIDA1"	0	0	0	0	0	0	0	0	6
"SNORD105"	0	0	0	0	0	0	0	0	0
"THBD"	0	0	30	13	0	0	0	0	0
"NEU1"	75	3	16	61	52	0	70	9	8
"TGM1"	0	0	0	0	0	0	0	0	0
"ARHGAP26"	306	0	235	25	67	10	12	114	80
"CLHC1"	9	0	36	0	9	0	34	0	37
"IL27RA"	0	0	0	0	0	0	0	0	1
"REPS2"	155	3	175	58	94	18	138	259	311
"MED18"	96	0	4	0	0	2	0	1	6
"ICAM4"	0	0	0	0	0	0	0	0	0
"CHST12"	10	6	37	9	17	4	8	36	22
"PRKCA"	424	39	101	49	105	124	29	67	244
"CDK5R1"	223	19	277	23	173	40	143	142	207
"HHEX"	0	0	0	0	0	0	0	0	0
"TIMP2"	564	29	340	8	46	114	73	58	161
"PRKACG"	0	0	0	1	0	0	0	0	0
"PREP"	3	22	65	0	3	0	18	1	16
"WISP2"	3	4	6	3	6	1	7	1	2
"CDC42EP5"	0	0	0	0	0	0	0	0	0
"SLC26A1"	0	0	0	0	3	0	7	0	0
"SLC26A9"	1	0	0	0	0	0	0	0	0
"FUK"	7	0	1	0	0	0	0	4	0
"SKA1"	0	0	0	0	0	0	0	0	0
"WHSC1"	0	0	0	0	0	0	0	0	0
"ILF3-AS1"	0	0	0	0	0	0	0	0	0
"SYNJ1"	881	239	523	334	533	456	289	197	490
"NT5C2"	1	0	9	0	1	0	2	1	1
"TREML1"	0	0	0	0	0	0	0	0	0
"TCEB3"	0	0	0	0	0	0	0	0	0
"ARG1"	0	0	0	0	0	0	0	0	0
"APOH"	0	0	0	0	0	0	0	0	0
"XRCC6"	134	1	81	27	54	12	26	54	17
"LAMB2P1"	0	0	0	0	0	0	0	0	0
"SNORA7A"	0	0	0	0	0	0	0	0	0
"SNORA72"	0	0	0	0	0	0	0	0	0
"LINC00261"	6	0	0	0	2	0	4	15	0
"AOX2P"	0	0	0	0	0	0	0	0	0
"IL17RA"	5	0	14	0	0	5	19	0	0
"CSPG4P1Y"	0	0	0	0	0	0	0	0	0
"TTTY15"	0	1	39	1	32	7	0	8	34
"TTTY2"	0	0	0	0	0	0	0	0	0
"TTTY6"	0	0	0	0	0	0	0	0	0
"HLA-DPB2"	0	0	12	0	0	0	0	12	0
"HLA-DRB6"	2	0	0	0	0	0	0	0	0
"PRSS3P2"	0	0	0	0	0	0	0	0	0
"SNORD108"	0	0	0	0	0	0	0	0	0
"HNRNPA1P10"	0	0	0	0	0	0	0	0	0
"RGS10"	0	0	0	0	0	0	0	0	0
"SSTR1"	283	3	103	36	3	1	39	2	12
"TFPI"	1	1	0	0	0	2	0	1	0
"SLC39A2"	0	0	0	0	0	0	0	0	0
"MGLL"	104	9	6	1	27	0	61	97	16
"LOC100130539"	0	0	0	0	0	0	0	0	0
"TEC"	1	0	11	0	0	0	0	0	0
"TEAD3"	0	0	0	0	0	0	0	2	0
"HDLBP"	198	6	81	45	52	15	62	106	90
"NPPA"	0	0	13	0	0	0	0	0	0
"LYSMD2"	137	2	105	80	113	2	51	48	37
"TMEM81"	27	0	0	0	0	0	0	6	3
"ZNF784"	0	7	2	0	4	1	0	0	0
"FIBIN"	0	1	0	1	0	2	9	0	0
"FAM212A"	0	0	0	0	0	0	0	0	0
"ODF3L2"	0	0	0	0	0	0	0	0	5
"LYPD5"	14	0	6	0	13	5	8	0	3
"NSUN6"	22	2	16	6	20	0	19	0	9
"SHC4"	1	0	0	0	0	0	0	0	0
"GKN2"	0	0	0	0	0	0	0	0	0
"TPTE"	0	0	0	0	0	0	0	0	0
"TDRD10"	0	0	0	0	0	0	0	0	0
"SERTAD3"	0	0	0	0	0	0	6	0	0
"ZNF428"	4	0	5	0	0	0	0	0	7
"FAM216B"	0	0	0	0	0	0	0	0	0
"KRTAP7-1"	0	0	0	0	0	0	0	0	0
"KRT26"	0	0	0	0	0	0	0	0	0
"KRT40"	0	0	0	0	0	0	0	0	0
"KRT80"	0	0	0	0	0	0	0	0	0
"MAGEB10"	0	0	0	0	0	0	0	0	0
"CCDC38"	0	0	0	0	0	0	0	0	0
"C9orf85"	90	0	9	3	2	0	5	2	4
"MYLK3"	0	1	0	0	0	0	2	0	0
"USP12"	120	15	71	5	55	35	13	27	179
"STK16"	2	1	24	2	0	0	1	0	0
"LOC286094"	0	0	0	0	0	0	0	0	0
"C9orf131"	0	0	0	0	0	0	0	0	0
"BAGE2"	0	0	0	0	0	0	0	0	0
"KCNQ1"	0	0	1	0	0	0	0	0	0
"AASDH"	5	1	14	0	0	2	5	0	16
"CERS2"	0	0	0	0	1	1	0	0	0
"YEATS2"	139	26	91	12	84	1	4	16	38
"RBMXL1"	19	1	0	9	12	0	7	5	14
"CAND2"	4	0	23	77	4	0	0	0	8
"HLA-A"	8	15	7	1	21	1	1	21	4
"LIME1"	0	0	0	0	0	0	0	0	0
"RPP25"	11	0	22	14	36	5	8	23	13
"DUS2"	0	0	29	0	1	0	1	8	0
"PAIP2B"	8	0	2	0	0	1	0	0	0
"THAP11"	4	0	24	0	10	0	6	29	8
"MIR639"	0	0	0	0	0	0	0	0	0
"RLF"	2	31	25	0	37	1	8	0	25
"CLDN16"	0	0	5	0	1	0	3	0	1
"RSU1"	8	15	7	1	5	0	7	4	5
"MIR5695"	0	0	0	0	0	0	0	0	0
"MIR5700"	0	0	0	0	0	0	0	0	0
"MIR5699"	0	0	0	0	0	0	0	0	0
"MIR5696"	0	0	0	0	0	0	0	0	0
"MIR5694"	0	0	0	0	0	0	0	0	0
"MIR5693"	0	0	0	0	0	0	0	0	0
"MIR4666B"	0	0	0	0	0	0	0	0	0
"MIR5692A2"	0	0	0	0	0	0	0	0	0
"MIR5692A1"	0	0	0	0	0	0	0	0	0
"MIR5691"	0	0	0	0	0	0	0	0	0
"MIR5690"	0	0	0	0	0	0	0	0	0
"MIR5689"	0	0	0	0	0	0	0	0	0
"MIR5681B"	0	0	0	0	0	0	0	0	0
"MIR5688"	0	0	0	0	0	0	0	0	0
"MIR5687"	0	0	0	0	2	0	0	0	0
"MIR5692C2"	0	0	0	0	0	0	0	0	0
"MIR5692C1"	0	0	0	0	0	0	0	0	0
"MIR5685"	0	0	0	0	0	0	0	0	0
"MIR548AX"	0	0	0	0	0	0	0	0	0
"MIR5684"	0	0	0	0	0	0	0	0	0
"MIR5683"	0	0	0	0	0	0	0	0	0
"MIR548AW"	0	0	0	0	0	0	0	0	0
"MIR5682"	0	0	0	0	0	0	0	0	0
"MIR5681A"	0	0	0	0	0	0	0	0	0
"MIR5680"	0	0	0	0	0	0	0	0	0
"MIR548AV"	0	0	0	0	0	0	0	0	0
"MIR5591"	0	0	0	0	0	0	0	0	0
"MIR5590"	0	0	0	0	0	0	0	0	0
"MIR5589"	0	0	0	0	0	0	0	0	0
"MIR1295B"	0	0	0	0	0	0	0	0	0
"MIR548AU"	0	0	0	0	0	0	0	0	0
"MIR5585"	0	0	0	0	0	0	0	0	0
"MIR5584"	0	0	0	0	0	0	0	0	0
"MIR5587"	0	0	0	0	0	0	0	0	0
"MIR5586"	0	0	0	0	0	0	0	0	0
"MIR5583-2"	0	0	0	0	0	0	0	0	0
"MIR5583-1"	0	0	0	0	0	0	0	0	0
"MIR5580"	0	0	0	0	0	0	0	0	0
"MIR664B"	0	0	0	0	0	0	0	0	0
